N,P,K,EC,Fe,Output
201,7.29,448,0.5,6.48,0
195,10.44,592,0.65,0.21,0
78,8.64,525,0.48,2.8,0
158,7.48,436,0.63,3.41,0
353,5.51,523,0.73,3.41,1
320,7.94,567,0.67,4.73,1
174,5.99,503,0.88,5.26,0
365,12.19,828,0.8,9.03,2
238,7.14,578,0.37,5.01,0
365,12.62,823,0.8,9.03,2
234,7.53,650,0.6,1.92,0
363,11.96,825,0.8,9.03,2
326,6.61,490,0.57,4.35,1
164,7.5,349,0.78,4.46,0
366,8.47,537,0.64,4.89,1
110,9.86,772,0.36,4.27,0
281,4.07,671,0.62,0.22,1
206,7.8,822,0.69,0.21,0
365,11.48,835,0.8,8.48,2
379,12.16,823,0.8,8.61,2
366,12.07,838,0.8,8.84,2
306,8.16,426,0.49,9.19,1
208,9.61,351,0.82,1.67,0
362,12.83,850,0.8,8.9,2
161,8.7,356,0.66,1.32,0
199,6.75,557,0.34,5.57,0
163,5.11,516,0.76,3.14,0
230,13.62,528,0.42,6.33,1
57,6.38,368,0.68,3.52,0
244,8.45,673,0.39,1.9,0
190,6.01,318,0.43,0.7,0
366,12.35,838,0.8,9.03,2
171,5.86,376,0.65,6.4,0
291,6.82,334,0.64,3.0,1
361,11.71,816,0.8,9.03,2
336,6.41,549,0.79,0.42,1
376,11.71,728,0.6,4.03,1
327,7.07,522,0.91,4.92,1
314,9.27,658,0.43,10.44,1
365,12.4,831,0.8,8.31,2
269,6.71,543,0.24,4.73,0
365,11.81,817,0.8,8.92,2
245,10.13,441,0.44,1.31,0
305,6.88,374,0.45,4.91,1
373,12.33,831,0.8,8.82,2
163,5.29,428,0.55,5.77,0
363,12.23,809,0.8,8.75,2
291,12.18,398,0.6,6.32,1
223,7.29,676,0.54,2.86,0
215,7.1,335,0.49,2.13,0
365,11.8,826,0.8,8.63,2
368,11.83,839,0.8,8.99,2
255,6.24,340,0.72,4.19,1
215,8.33,465,0.58,0.95,0
210,7.87,456,0.53,3.71,0
348,12.25,609,0.82,4.22,1
305,39.04,174,0.67,3.52,1
239,8.92,444,0.75,8.46,0
274,11.79,439,0.54,1.75,1
162,8.21,389,0.68,6.89,0
363,11.34,824,0.8,9.03,2
371,11.92,817,0.8,9.03,2
185,9.11,465,0.6,5.78,0
62,6.75,431,0.65,5.77,0
363,12.05,820,0.8,8.3,2
373,11.82,828,0.8,9.03,2
373,12.36,822,0.8,8.59,2
364,12.71,823,0.8,8.85,2
208,7.61,595,0.43,0.81,0
371,7.32,538,0.48,2.05,1
121,8.63,552,0.82,0.21,0
367,12.29,839,0.8,8.87,2
364,12.12,826,0.8,9.0,2
289,11.83,392,0.52,7.67,1
295,17.83,595,0.76,1.64,1
349,9.25,598,0.55,3.17,1
366,11.5,822,0.8,8.89,2
347,10.71,507,0.31,7.63,1
186,3.9,498,0.42,0.97,0
293,20.08,513,0.28,4.52,1
